Quartier,Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
e n p e ..............0550473311,Bab Ezzouar,2.0,80,3.0,1,1,1,1,0,1,0,0,2400.0
rabia tahar,Bab Ezzouar,2.0,76,3.0,1,1,1,1,0,1,0,0,2000.0
Sorecal les marrons,Bab Ezzouar,1.0,74,3.0,1,1,1,1,0,1,0,0,1450.0
Rabia tahar,Bab Ezzouar,6.0,55,2.0,1,1,1,0,0,0,1,0,3200.0
Beb ezzouar,Bab Ezzouar,5.0,82,4.0,1,1,1,0,0,0,0,0,1300.0
cit 420 lgts abdelkader misouni el hamiz alger,Bab Ezzouar,4.0,74,4.0,1,1,1,1,0,0,0,0,2400.0
sorecal les marrons : 0550473188,Bab Ezzouar,6.0,50,2.0,1,1,1,1,0,1,0,0,1500.0
El alia,Bab Ezzouar,3.0,75,3.0,1,1,1,0,0,0,0,0,1250.0
Cit Rabia Tarah,Bab Ezzouar,1.0,83,4.0,1,1,1,1,0,1,0,0,1600.0
Enpi ,Bab Ezzouar,10.0,76,3.0,1,1,1,1,0,1,0,0,1600.0
Eplf bejaia ,Bab Ezzouar,8.0,67,3.0,1,1,1,1,0,1,0,0,2500.0
LIDO MOHAMADIA ,Bab Ezzouar,2.0,94,3.0,1,1,1,1,1,1,0,1,1600.0
ENPI ex Eplf Bjaia.,Bab Ezzouar,2.0,75,3.0,1,1,1,1,0,1,1,0,1700.0
EPLF BEJAIA,Bab Ezzouar,3.0,76,3.0,1,1,1,1,1,0,0,0,1350.0
Sorecal,Bab Ezzouar,7.0,76,3.0,1,1,1,1,0,0,0,0,1750.0
en face mercure,Bab Ezzouar,4.0,100,4.0,1,1,1,0,0,0,0,0,1450.0
1200 logements,Bab Ezzouar,2.0,105,3.0,1,1,1,1,0,0,0,0,1450.0
Sorecal,Bab Ezzouar,7.0,53,2.0,1,1,0,1,1,1,0,0,1250.0
cooprative zahra  0550473188,Bab Ezzouar,7.0,75,3.0,1,1,1,0,1,0,0,0,1100.0
cite EPLF,Bab Ezzouar,2.0,68,3.0,1,1,1,0,0,0,0,0,2600.0
sorecal citi cnp,Bab Ezzouar,1.0,95,5.0,1,1,1,0,0,0,0,0,1000.0
cit soumam,Bab Ezzouar,2.0,86,4.0,1,1,1,1,0,0,0,0,1000.0
SORECAL  LES MARON,Bab Ezzouar,5.0,68,3.0,1,1,1,1,0,1,0,0,1300.0
sorekal,Bab Ezzouar,2.0,100,4.0,1,1,1,1,0,0,0,0,1400.0
u3,Bab Ezzouar,14.0,137,5.0,1,1,1,1,0,1,0,0,1800.0
Sorecal 08 mai 45,Bab Ezzouar,7.0,75,3.0,1,1,1,1,1,0,0,0,1800.0
E P L F,Bab Ezzouar,13.0,100,4.0,1,1,1,1,0,1,0,0,1000.0
1200 logement ,Bab Ezzouar,3.0,120,4.0,1,1,1,1,0,1,0,1,1350.0
Ismal yafsah,Bab Ezzouar,2.0,80,3.0,1,1,1,1,0,1,0,0,1200.0
EPLF  Bejaia ,Bab Ezzouar,12.0,128,5.0,1,1,1,1,0,1,0,0,1000.0
AADL 1 Bab Ezzouar Bt 21 No 16,Bab Ezzouar,6.0,85,4.0,1,1,1,0,0,0,0,0,1300.0
1200 logements  ,Bab Ezzouar,4.0,95,4.0,1,1,1,1,0,0,0,0,1550.0
El djorf,Bab Ezzouar,8.0,75,3.0,1,1,1,0,0,0,0,0,1200.0
 cit EPLF cot sonalgaz ,Bab Ezzouar,7.0,65,3.0,1,1,1,1,0,1,0,0,1550.0
Cit 498 logement ,Bab Ezzouar,1.0,100,4.0,1,1,1,0,1,0,0,0,2450.0
cit du 8 mai 45( Sorecal),Bab Ezzouar,8.0,60,2.0,1,1,1,1,0,1,0,0,1300.0
rabia tahar ,Bab Ezzouar,6.0,75,3.0,1,1,1,1,0,1,0,0,1100.0
cit piallef ,Bab Ezzouar,14.0,75,3.0,1,1,1,1,0,1,1,0,1400.0
rabia tahar,Bab Ezzouar,3.0,76,3.0,1,1,1,1,0,1,0,0,1700.0
"1200 log ,residance de 24 log avec portail pas loin du centre commercial",Bab Ezzouar,4.0,95,4.0,1,1,1,0,0,0,0,0,1600.0
CITE SOUMMAM,Bab Ezzouar,2.0,75,3.0,1,1,1,0,0,0,0,0,1950.0
cit 2068 logts en face a fac USTHB,Bab Ezzouar,3.0,74,3.0,1,1,1,1,0,0,1,0,1600.0
Enface mosque rabia taher,Bab Ezzouar,1.0,47,2.0,1,1,1,1,0,1,0,0,2500.0
e n p e ..............0550473311,Bab Ezzouar,10.0,80,3.0,1,1,1,1,0,1,0,0,1700.0
Beb zouar (belle risidence) ,Bab Ezzouar,4.0,120,4.0,1,1,1,0,0,0,0,1,2200.0
smail yfsah ,Bab Ezzouar,5.0,69,3.0,1,1,1,1,0,1,0,0,1500.0
8mai 1945,Bab Ezzouar,3.0,115,5.0,1,1,1,0,0,0,0,0,1520.0
Sorical ,Bab Ezzouar,10.0,50,2.0,1,1,1,0,0,0,0,0,1000.0
  ,Bab Ezzouar,6.0,85,4.0,1,1,1,0,0,0,0,0,1600.0
les bananiers,Bab Ezzouar,2.0,70,3.0,1,1,1,1,0,1,1,0,1500.0
 rabia tahar,Bab Ezzouar,1.0,47,2.0,1,1,1,1,0,1,0,0,1700.0
Cit 5 juillet,Bab Ezzouar,2.0,77,3.0,1,1,1,0,0,0,0,0,1700.0
Rabia Tahar,Bab Ezzouar,4.0,73,3.0,1,1,1,1,0,1,0,0,1250.0
ismail yafsah bab ezzouar,Bab Ezzouar,6.0,75,3.0,1,1,1,1,0,0,1,0,2300.0
cit sorecal,Bab Ezzouar,4.0,72,3.0,1,1,1,1,0,1,0,0,3000.0
Sorecal ,Bab Ezzouar,7.0,1,3.0,1,1,1,1,0,0,1,0,1700.0
cit 5 juillet,Bab Ezzouar,4.0,75,3.0,1,1,1,1,0,0,0,0,2000.0
Cit 5 juillet,Bab Ezzouar,5.0,72,3.0,1,1,1,1,0,0,0,0,1800.0
ENPI,Bab Ezzouar,11.0,80,3.0,1,1,1,1,0,0,0,0,2500.0
l'eplf,Bab Ezzouar,1.0,75,3.0,1,1,1,1,0,1,0,1,1200.0
Rabia tahr,Bab Ezzouar,1.0,55,2.0,1,1,1,1,0,1,0,0,1600.0
1200 logts,Bab Ezzouar,5.0,115,4.0,1,1,1,1,0,1,0,0,3200.0
cit 5 juillet bt 78 D,Bab Ezzouar,4.0,80,4.0,1,1,1,1,0,1,0,0,3700.0
Belle rsidence,Bab Ezzouar,4.0,120,4.0,1,1,1,0,0,0,0,1,1000.0
Rabia Tahar,Bab Ezzouar,6.0,75,3.0,1,1,1,1,0,1,0,0,1000.0
cit du sahel Sorecal ,Bab Ezzouar,1.0,117,5.0,1,1,1,1,0,1,0,0,1750.0
08 mai 45 (sorecal),Bab Ezzouar,3.0,70,3.0,1,1,1,1,0,0,0,0,1400.0
rabia tahar,Bab Ezzouar,6.0,75,3.0,1,1,1,1,0,1,0,0,2000.0
cit Rabia Tahar,Bab Ezzouar,6.0,74,3.0,1,1,1,1,1,1,0,0,2200.0
cit el djorf,Bab Ezzouar,5.0,50,2.0,1,1,1,0,0,0,0,0,1700.0
"Sorecal, la cit moudjahidine",Bab Ezzouar,1.0,75,3.0,1,1,1,1,0,1,0,1,1000.0
ENPI EX EPLF,Bab Ezzouar,12.0,75,3.0,1,1,1,1,0,1,0,0,2000.0
cite 05juillet,Bab Ezzouar,1.0,55,2.0,1,1,1,1,0,1,0,0,1900.0
1200 Logt,Bab Ezzouar,5.0,120,4.0,1,1,1,1,0,0,0,0,4500.0
cite soummam,Bab Ezzouar,2.0,130,5.0,1,1,1,1,0,0,1,0,2500.0
rabia tahar,Bab Ezzouar,6.0,70,3.0,0,0,0,0,0,0,0,0,3000.0
EPLF BEJAIA,Bab Ezzouar,1.0,70,3.0,1,1,1,1,0,1,0,0,2800.0
Eldjorf,Bab Ezzouar,3.0,68,3.0,1,1,1,1,0,0,0,0,2900.0
ismail yafsah,Bab Ezzouar,8.0,74,3.0,1,1,1,1,0,1,0,0,1300.0
Bab-ezzouar,Bab Ezzouar,4.0,110,4.0,1,1,1,1,0,1,0,1,4200.0
cit  5)juillet ,Bab Ezzouar,5.0,75,3.0,1,1,1,1,0,1,0,0,5000.0
Bab Ezzouar ,Bab Ezzouar,12.0,76,3.0,1,1,1,1,0,0,0,0,4300.0
EPLF,Bab Ezzouar,6.0,90,4.0,0,0,0,0,0,1,0,0,3400.0
Rabia Taher,Bab Ezzouar,4.0,75,3.0,1,1,1,1,0,1,0,0,3300.0
"les pallier, en face de l'htel ibis",Bab Ezzouar,2.0,80,3.0,1,1,1,1,0,0,0,0,2600.0
cit EPLF ,Bab Ezzouar,14.0,145,5.0,1,1,1,0,0,0,0,0,3300.0
mercur,Bab Ezzouar,1.0,110,4.0,1,1,1,1,0,1,0,0,2800.0
La cit 05 juillet ,Bab Ezzouar,4.0,91,5.0,1,1,1,1,0,0,0,0,1800.0
djorf,Bab Ezzouar,4.0,82,4.0,1,1,1,0,0,0,0,0,2000.0
cit 498 logts,Bab Ezzouar,6.0,75,3.0,1,1,1,0,0,0,0,0,2500.0
cit rabia tahar ,Bab Ezzouar,6.0,75,3.0,1,1,1,1,0,0,0,0,3100.0
sorical,Bab Ezzouar,4.0,76,3.0,1,1,1,0,0,0,0,0,1800.0
cit SORECAL,Bab Ezzouar,4.0,75,3.0,1,1,1,0,0,0,0,0,2300.0
en face hotel IBIZ,Bab Ezzouar,2.0,81,3.0,1,1,1,1,0,1,0,0,4700.0
   .,Bab Ezzouar,5.0,55,2.0,1,1,1,1,0,1,0,0,3600.0
Rabia tahar,Bab Ezzouar,3.0,55,2.0,1,1,1,0,0,0,0,0,4800.0
Bab ezzouar,Bab Ezzouar,12.0,85,4.0,1,1,1,1,0,0,0,0,4800.0
EPLF ,Bab Ezzouar,6.0,65,3.0,1,1,1,1,0,0,0,0,4300.0
8 mai 45 ( sorecal),Bab Ezzouar,8.0,76,3.0,1,1,1,1,0,0,0,0,2900.0
5juillier,Bab Ezzouar,1.0,100,5.0,1,1,1,1,0,1,1,0,4700.0
soummam,Bab Ezzouar,1.0,50,2.0,1,1,1,0,0,0,0,0,2700.0
Cit 8 mai 1945 (Cnep) sorecal,Bab Ezzouar,4.0,74,3.0,0,0,0,0,0,0,0,0,5000.0
Cit Smal Yefsah ( en face l'universit de BAB EZZOUAR ),Bab Ezzouar,3.0,64,3.0,1,1,1,1,1,0,0,0,2700.0
Dergana,Bab Ezzouar,2.0,82,4.0,1,1,1,1,0,0,0,0,4500.0
Bab ezzouar cit AADL Bt n12 ,Bab Ezzouar,8.0,90,4.0,1,1,1,0,0,0,0,0,3200.0
cit ENPI,Bab Ezzouar,5.0,76,3.0,1,1,1,0,0,0,0,0,2000.0
Sorecal,Bab Ezzouar,9.0,72,3.0,1,1,1,1,0,0,0,0,2500.0
cit 8 mai 1945,Bab Ezzouar,1.0,89,4.0,1,1,1,1,0,1,0,0,4000.0
les roses enface le march de 08 mai 1945,Bab Ezzouar,5.0,80,3.0,1,1,1,1,0,0,0,0,3200.0
eplf,Bab Ezzouar,5.0,71,3.0,1,1,1,1,1,0,0,1,2600.0
RABIA TAHAR,Bab Ezzouar,4.0,75,3.0,1,1,1,0,0,0,0,0,2300.0
eplf bijaya,Bab Ezzouar,9.0,67,3.0,1,1,1,1,1,0,0,0,2100.0
sorcal,Bab Ezzouar,5.0,115,5.0,1,1,1,1,0,1,0,0,2150.0
eplf,Bab Ezzouar,7.0,70,3.0,1,1,1,1,1,0,0,0,1500.0
cit 1200logt,Bab Ezzouar,4.0,117,4.0,1,1,1,0,0,0,0,0,2400.0
eplf,Bab Ezzouar,8.0,68,3.0,1,1,1,1,1,0,0,0,5000.0
soummame,Bab Ezzouar,1.0,120,5.0,1,1,1,1,0,1,0,0,2700.0
eplf ,Bab Ezzouar,6.0,70,3.0,1,1,1,1,1,0,0,0,2600.0
Bananiers,Bab Ezzouar,2.0,75,3.0,0,0,0,0,0,0,0,0,5000.0
sorical,Bab Ezzouar,6.0,61,2.0,1,1,1,0,1,0,0,0,1900.0
Cite rabia,Bab Ezzouar,6.0,80,3.0,1,1,1,1,0,1,0,0,4000.0
cit EPLF cot sonalgaz,Bab Ezzouar,1.0,120,5.0,1,1,1,0,1,0,0,0,3400.0
eplf,Bab Ezzouar,6.0,70,3.0,1,1,1,1,1,0,0,0,2000.0
Sorecal,Bab Ezzouar,6.0,75,3.0,1,1,1,0,0,0,0,0,2000.0
Sorecal,Bab Ezzouar,7.0,76,3.0,1,1,1,1,0,0,0,0,2900.0
ler bananier,Bab Ezzouar,4.0,75,3.0,1,1,1,0,0,0,0,0,2000.0
08  1945   ,Bab Ezzouar,8.0,72,3.0,1,1,1,0,1,0,0,1,3100.0
5juillet,Bab Ezzouar,2.0,52,2.0,1,1,1,1,0,0,0,0,3000.0
 ,Bab Ezzouar,4.0,90,4.0,1,1,1,0,0,0,0,0,1300.0
Cite Empi ,Bab Ezzouar,10.0,75,3.0,1,1,1,0,0,0,1,0,1200.0
cit sorecal,Bab Ezzouar,6.0,74,3.0,1,1,1,0,0,0,0,0,2150.0
cit 5 juillet,Bab Ezzouar,1.0,66,3.0,1,1,1,0,0,0,0,0,1400.0
Rabia Tahar,Bab Ezzouar,6.0,75,3.0,1,1,1,0,0,0,0,0,2200.0
cit ENPI,Bab Ezzouar,6.0,82,3.0,1,1,1,0,0,0,0,0,1200.0
cit 8 mai 1945,Bab Ezzouar,9.0,55,2.0,1,1,1,0,0,0,0,0,1200.0
5 juillet ,Bab Ezzouar,4.0,75,3.0,0,0,0,0,0,0,0,0,2800.0
les bananiers,Bab Ezzouar,3.0,62,2.0,1,1,1,0,0,0,0,0,1650.0
Suummam,Bab Ezzouar,1.0,75,3.0,1,1,1,0,0,0,0,0,2400.0
la cit EPLF ,Bab Ezzouar,6.0,65,3.0,1,1,1,0,0,0,0,0,1100.0
la cit Air algrie,Bab Ezzouar,2.0,92,4.0,1,1,1,0,0,0,0,1,1200.0
cit 1200logt,Bab Ezzouar,3.0,80,4.0,1,1,1,0,1,0,0,0,2700.0
p l f ,Bab Ezzouar,5.0,75,3.0,1,1,1,0,0,0,0,0,2900.0
sorcal,Bab Ezzouar,3.0,55,2.0,0,0,0,0,0,0,0,0,2800.0
sorcal ,Bab Ezzouar,1.0,60,2.0,1,1,1,0,0,0,0,0,3000.0
Cit 5 juillet,Bab Ezzouar,2.0,60,2.0,1,1,1,0,0,0,0,0,4500.0
Les roses,Bab Ezzouar,1.0,75,3.0,1,1,1,0,0,0,0,0,2000.0
8 Mai 1945 Sorecal (Grenats),Bab Ezzouar,7.0,58,2.0,1,1,1,0,0,0,0,0,3100.0
SORECAL,Bab Ezzouar,6.0,75,3.0,1,1,1,0,0,0,0,0,3100.0
Cite soummam,Bab Ezzouar,9.0,75,3.0,1,1,1,0,0,0,0,0,3000.0
cite 1200logt,Bab Ezzouar,4.0,120,4.0,1,1,1,0,0,0,1,0,3000.0
Cit Rabia Tahar,Bab Ezzouar,9.0,70,3.0,1,1,1,0,0,0,0,0,1000.0
sorcal,Bab Ezzouar,9.0,55,2.0,1,1,1,0,0,0,0,0,1500.0
"sorecal cite 8 mai 1945 "" Tel 0662312332""",Bab Ezzouar,3.0,95,4.0,1,1,1,0,0,0,0,0,1150.0
sorical (moudjahidin),Bab Ezzouar,4.0,74,3.0,1,1,1,0,0,0,0,0,1300.0
soumam,Bab Ezzouar,1.0,75,3.0,0,0,0,0,0,0,0,0,2900.0
Cit rabia tahar,Bab Ezzouar,7.0,75,3.0,1,1,1,0,0,0,0,0,2600.0
Cit Eplf Bjaia,Bab Ezzouar,6.0,70,3.0,1,1,1,0,0,0,0,0,2800.0
Rabia Tahar ,Bab Ezzouar,7.0,75,3.0,1,1,1,0,0,0,0,0,2650.0
sorecal cnep,Bab Ezzouar,8.0,75,3.0,1,1,1,0,0,0,0,0,2600.0
cit soumam,Bab Ezzouar,1.0,70,3.0,0,0,0,0,0,0,0,0,2500.0
Cit 129logment baba zouaur jami3a,Bab Ezzouar,1.0,74,3.0,1,1,1,0,0,0,0,0,2700.0
Sorecal,Bab Ezzouar,6.0,55,2.0,1,1,1,0,0,0,0,0,2400.0
Mercure,Bab Ezzouar,2.0,115,5.0,0,0,0,0,0,0,0,0,2700.0
la Soummam,Bab Ezzouar,2.0,75,3.0,1,1,1,0,0,0,0,0,3000.0
djorf  la kasbah,Bab Ezzouar,2.0,86,4.0,1,1,1,0,0,0,0,0,3000.0
08 mai 1945,Bab Ezzouar,1.0,75,3.0,1,1,1,0,0,0,0,0,2200.0
 ,Bab Ezzouar,5.0,66,3.0,1,1,1,0,0,0,0,0,2000.0
cit 20 log . 5 juiller,Bab Ezzouar,1.0,67,3.0,1,1,1,0,0,0,0,1,3000.0
Sorecal ,Bab Ezzouar,2.0,76,3.0,1,1,1,0,0,0,0,0,2200.0
AADL EL MOUSALAHA BEZ II,Bab Ezzouar,12.0,72,3.0,1,1,1,0,1,0,0,0,1800.0
cit sorecal,Bab Ezzouar,9.0,65,2.0,1,1,1,0,0,0,0,0,1300.0
cit 2068 logement,Bab Ezzouar,5.0,90,4.0,1,1,1,0,0,0,0,0,2200.0
Sorecal,Bab Ezzouar,6.0,75,3.0,1,1,1,0,0,0,0,0,1200.0
cit soumam,Bab Ezzouar,5.0,90,4.0,1,1,0,0,0,0,1,0,2500.0
cit soumam,Bab Ezzouar,5.0,72,3.0,1,1,1,0,0,0,0,0,1400.0
Cit 1200 logts,Bab Ezzouar,1.0,110,4.0,0,0,0,0,0,0,0,0,1500.0
ENPI (ex Eplf),Bab Ezzouar,1.0,79,3.0,0,0,0,0,0,0,0,0,1700.0
Mercure,Bab Ezzouar,3.0,100,4.0,1,1,1,0,0,0,1,0,3700.0
Rsidentiel,Bab Ezzouar,6.0,100,4.0,1,1,1,0,0,0,1,0,1550.0
Smail Yefsah,Bab Ezzouar,5.0,97,4.0,1,1,1,0,0,0,0,0,4500.0
sorical,Bab Ezzouar,3.0,75,3.0,1,1,1,0,0,0,0,0,1800.0
eplf bejaaia ,Bab Ezzouar,2.0,75,3.0,1,1,1,0,0,0,0,1,2300.0
e p l f ,Bab Ezzouar,3.0,120,5.0,1,1,1,0,0,0,0,0,2200.0
e p l f ,Bab Ezzouar,10.0,78,3.0,1,1,1,0,0,0,0,0,3800.0
aproximit  de  la  gare  routiere,Baba Hassen,1.0,95,3.0,1,1,1,1,0,0,0,1,2400.0
130 logements,Baba Hassen,2.0,95,4.0,1,0,0,0,0,0,0,0,2800.0
Rsidence 130 Logements,Baba Hassen,4.0,102,4.0,1,1,1,1,1,0,0,0,2300.0
baba hassen,Baba Hassen,1.0,145,5.0,1,1,1,0,0,0,0,0,1800.0
 3 mn de l'autoroute est ouest ,Baba Hassen,3.0,180,4.0,1,1,1,1,0,1,0,0,3000.0
Centre de ville de baba hasse,Baba Hassen,1.0,112,3.0,1,1,1,1,0,1,0,1,1850.0
Baba hassen,Baba Hassen,1.0,127,4.0,1,1,1,1,0,0,0,1,1700.0
Sortie de babahcene,Baba Hassen,1.0,100,3.0,1,1,1,1,0,0,1,1,2500.0
1090 logement ,Baba Hassen,8.0,72,3.0,1,1,1,0,0,0,0,1,3600.0
cite aadl ,Baba Hassen,6.0,90,4.0,1,1,1,0,0,0,0,0,1200.0
130 logement baba hassen ,Baba Hassen,2.0,97,4.0,1,1,1,1,0,0,0,0,1600.0
1090 Logt LSP,Baba Hassen,10.0,75,3.0,1,1,1,1,0,0,1,0,2500.0
Adll,Baba Hassen,1.0,95,4.0,1,1,1,1,0,0,1,0,2400.0
approximit de la garre routiere ,Baba Hassen,1.0,95,3.0,1,1,1,1,0,1,0,0,2100.0
LSP Turk  BABA HASSEN,Baba Hassen,3.0,80,3.0,1,1,1,1,0,1,1,0,2700.0
BABA HASSEN,Baba Hassen,2.0,112,3.0,1,1,1,0,0,0,0,1,2700.0
130 logements ,Baba Hassen,4.0,102,4.0,1,1,1,0,0,0,0,0,2700.0
LSP,Baba Hassen,4.0,72,3.0,0,0,0,0,0,0,0,0,2700.0
haouch oukil,Baba Hassen,2.0,95,3.0,1,1,1,0,0,0,0,0,1200.0
cit LSP,Baba Hassen,1.0,75,3.0,1,1,1,0,0,0,0,0,1800.0
cit 1090 logts. cit des Turcs,Baba Hassen,1.0,72,3.0,1,1,1,1,0,0,0,0,1700.0
Lsp,Baba Hassen,5.0,73,3.0,1,1,1,1,0,1,0,0,2800.0
Residence les Amandiers ,Baba Hassen,1.0,120,4.0,1,1,1,1,0,1,0,1,2800.0
Baba Hassen,Baba Hassen,2.0,120,5.0,1,1,1,0,1,0,0,0,2300.0
cite des turques .,Baba Hassen,3.0,78,3.0,1,1,1,0,0,0,0,0,1200.0
residentiel,Baba Hassen,3.0,75,3.0,1,1,1,1,0,1,0,1,1950.0
Cit LSP,Baba Hassen,5.0,73,3.0,1,1,1,1,0,1,0,0,4800.0
adll,Baba Hassen,1.0,100,4.0,1,1,1,1,0,0,0,0,2550.0
baba hassen ,Baba Hassen,5.0,74,3.0,1,1,1,1,0,1,0,0,1700.0
Adll,Baba Hassen,1.0,100,4.0,1,1,1,1,0,0,0,0,3400.0
Cit 1090 logements B C5 N=1,Baba Hassen,1.0,72,3.0,0,0,0,1,1,0,0,0,2100.0
Baba Hassane ,Baba Hassen,2.0,82,3.0,1,0,1,1,0,0,0,0,1800.0
1090 logements,Baba Hassen,1.0,72,3.0,1,1,1,1,0,0,0,0,2400.0
pas loin du centre de recherche,Baba Hassen,1.0,95,3.0,1,1,1,1,0,1,0,0,1595.0
cite lsp,Baba Hassen,1.0,75,3.0,1,1,1,0,0,0,0,0,2900.0
Houch loukil ,Baba Hassen,1.0,65,2.0,1,1,1,0,0,0,0,0,3350.0
A coter Centre de recherche CDTA,Baba Hassen,4.0,105,4.0,1,1,1,0,0,0,0,0,2800.0
Kartala,Baba Hassen,2.0,80,3.0,1,1,1,0,0,0,0,0,3000.0
  ,Baba Hassen,1.0,75,3.0,1,1,1,0,0,0,0,0,2300.0
baba hassen,Baba Hassen,2.0,100,4.0,1,1,1,0,1,0,1,0,3700.0
cit 1090 logements,Baba Hassen,3.0,75,3.0,1,1,1,0,0,0,0,0,1950.0
cite 144 logement  hay aidrouse mourad    ,Bachdjerrah,2.0,72,3.0,1,1,1,1,0,0,0,0,2700.0
Bachjarah,Bachdjerrah,5.0,62,3.0,1,1,1,1,0,1,0,0,1700.0
evolutive,Bachdjerrah,3.0,49,3.0,1,1,1,1,0,0,0,0,5000.0
BACHDJARRAH 3 ,Bachdjerrah,5.0,70,3.0,1,1,1,1,0,1,0,0,3000.0
Bourouba ,Bachdjerrah,4.0,140,4.0,1,1,1,1,0,0,0,1,3800.0
bachdjarrah,Bachdjerrah,4.0,95,5.0,1,1,1,1,0,1,0,0,4200.0
Tennis,Bachdjerrah,5.0,100,5.0,1,1,1,0,0,0,0,0,2300.0
DNC,Bachdjerrah,4.0,53,2.0,1,1,1,1,0,1,0,0,4500.0
Cite Bachdjerrah 1,Bachdjerrah,4.0,117,5.0,1,1,1,1,0,1,0,0,1800.0
Badjarah,Bachdjerrah,1.0,72,3.0,1,1,1,1,0,1,0,0,3500.0
EGECO,Bachdjerrah,4.0,75,3.0,1,1,1,1,0,0,0,0,2100.0
En face etusa,Bachdjerrah,4.0,70,4.0,1,1,1,0,0,1,0,0,4000.0
BACHE DJARAH,Bachdjerrah,4.0,85,4.0,1,1,1,0,0,0,0,0,2900.0
BACHE DJARAH,Bachdjerrah,1.0,72,3.0,1,1,1,1,0,1,0,0,1300.0
488log,Bachdjerrah,5.0,107,5.0,1,1,1,1,0,1,0,0,3000.0
Cit oumkhlouf mahmoud ex egeco,Bachdjerrah,3.0,75,3.0,1,1,1,1,1,1,0,0,2600.0
bechdjerah,Bachdjerrah,2.0,87,4.0,1,1,1,1,0,1,0,0,1700.0
EGECO,Bachdjerrah,4.0,72,3.0,1,1,1,1,0,1,0,0,3000.0
Cit 216 Logements,Bachdjerrah,4.0,49,2.0,1,1,1,1,0,0,0,0,1700.0
104 logement LSP Bourouba,Bachdjerrah,2.0,76,3.0,1,1,1,1,0,1,0,0,2250.0
tennis,Bachdjerrah,1.0,100,3.0,1,1,1,1,0,1,0,0,2100.0
Egeco,Bachdjerrah,3.0,73,3.0,1,1,1,0,0,0,0,0,1700.0
Tennis,Bachdjerrah,1.0,75,3.0,1,1,1,1,1,1,0,0,2400.0
Bourouba,Bachdjerrah,2.0,35,2.0,1,1,1,1,0,1,1,0,1800.0
Diar El djema ,Bachdjerrah,4.0,56,3.0,1,1,1,0,0,1,0,0,1350.0
bachdjerrah I,Bachdjerrah,4.0,62,3.0,1,1,1,1,0,1,0,0,2500.0
Bachdjarrah ,Bachdjerrah,5.0,65,3.0,1,1,1,1,0,0,0,0,1600.0
bachderrah 2,Bachdjerrah,4.0,80,4.0,1,1,1,0,0,0,0,0,1700.0
 ,Bachdjerrah,5.0,80,3.0,1,1,1,1,0,1,0,0,2500.0
cite evolutive BT:H 4 etage ,Bachdjerrah,4.0,49,3.0,0,0,0,1,0,1,0,0,1550.0
cit 200 logts,Bachdjerrah,2.0,60,2.0,1,1,1,1,0,1,0,0,1800.0
EGECO,Bachdjerrah,2.0,61,2.0,1,1,1,1,0,1,0,0,2200.0
Bachdjerrah,Bachdjerrah,2.0,58,3.0,1,1,1,1,0,0,0,0,2300.0
Bachdjerah 1 en face marche,Bachdjerrah,1.0,62,3.0,1,1,1,0,0,0,0,0,2400.0
Bachdjerah 3,Bachdjerrah,5.0,65,3.0,1,1,1,1,0,1,0,0,2800.0
  DNC,Bachdjerrah,5.0,72,3.0,0,0,0,0,0,0,0,0,2350.0
hey el badr ,Bachdjerrah,7.0,85,4.0,1,1,1,0,1,0,0,0,1600.0
Bachdjarah 1,Bachdjerrah,1.0,63,3.0,1,1,1,0,0,0,1,0,2500.0
tenniss,Bachdjerrah,2.0,70,3.0,1,1,1,0,0,0,0,0,1700.0
Bachdjerrah 1,Bachdjerrah,4.0,100,5.0,1,1,1,0,0,0,0,0,3600.0
bachdjerrah (  Cite Tunnis  ) ,Bachdjerrah,1.0,70,3.0,1,1,1,0,0,0,0,0,2600.0
Bachdjerrah  Cite APC CNEP TENNIS,Bachdjerrah,3.0,72,3.0,1,1,1,0,0,0,0,0,4000.0
Bachdjarreh ( 3 ),Bachdjerrah,5.0,70,3.0,1,1,1,0,0,0,0,0,3300.0
Baraki,Baraki,3.0,50,2.0,1,1,1,0,0,0,0,0,1600.0
cite 2004 logt ,Baraki,1.0,75,3.0,1,1,1,1,1,0,0,0,2200.0
bentalha 700 lgt ,Baraki,3.0,58,2.0,1,1,1,0,0,0,0,0,1600.0
700 log,Baraki,1.0,82,4.0,1,1,0,0,0,0,0,0,2500.0
Bentalha ( Cit Rafanel ),Baraki,1.0,110,3.0,1,1,1,1,0,0,0,1,2800.0
Ben talha,Baraki,3.0,75,3.0,1,1,1,0,0,0,0,0,2500.0
2004 logements,Baraki,3.0,70,3.0,1,1,1,1,0,0,1,0,1600.0
360 logts (ex diar el baraka),Baraki,3.0,85,5.0,1,1,1,0,0,0,0,0,2500.0
Cit 2004 log ,Baraki,3.0,117,5.0,1,1,1,0,0,0,1,0,1800.0
houche mihoube,Baraki,1.0,85,3.0,1,1,1,0,0,0,0,0,2600.0
 Bantalha,Baraki,5.0,8,3.0,1,1,1,0,0,0,1,0,2550.0
Bantalha,Baraki,5.0,85,3.0,1,1,1,0,0,0,0,0,1250.0
Ben talha,Baraki,1.0,45,3.0,1,1,1,0,0,0,0,0,2100.0
2004 logement ,Baraki,4.0,74,3.0,0,0,0,1,0,0,0,0,2200.0
